; index, empty, ペパーミント, ほうじ茶, 紅茶, ;
7,18.444,16.203,15.472,17.541,;
8,18.444,15.584,15.334,17.453,;
9,18.444,15.107,15.224,17.385,;
0,15.888,12.867,13.034,14.709,;
1,15.827,12.727,12.904,14.597,;
2,13.46,11.228,11.542,12.645,;
3,13.575,11.999,11.761,12.81,;
4,13.625,12.341,11.793,12.884,;
5,16.166,14.297,13.633,15.126,;
6,16.057,13.898,13.324,14.91,;
7,18.444,16.202,15.477,17.539,;
8,18.444,15.581,15.343,17.462,;
9,18.444,15.102,15.232,17.396,;
0,15.885,12.864,13.039,14.712,;
1,15.823,12.725,12.911,14.609,;
2,13.465,11.229,11.547,12.65,;
3,13.572,12.003,11.767,12.815,;
4,13.642,12.344,11.798,12.885,;
5,16.173,14.296,13.647,15.13,;
6,16.058,13.902,13.339,14.939,;
7,18.444,16.195,15.492,17.556,;
8,18.444,15.582,15.355,17.467,;
9,18.444,15.1,15.25,17.403,;
0,15.88,12.865,13.055,14.714,;
1,15.826,12.718,12.92,14.614,;
2,13.459,11.227,11.553,12.651,;
3,13.574,12.007,11.773,12.815,;
4,13.628,12.34,11.804,12.89,;
5,16.16,14.299,13.644,15.137,;
6,16.064,13.896,13.343,14.94,;
7,18.444,16.2,15.5,17.545,;
8,18.444,15.583,15.373,17.475,;
9,18.444,15.103,15.263,17.409,;
0,15.88,12.871,13.057,14.72,;
1,15.822,12.72,12.929,14.62,;
2,13.456,11.232,11.559,12.652,;
3,13.571,12.008,11.778,12.818,;
4,13.635,12.341,11.811,12.894,;
5,16.164,14.299,13.654,15.138,;
6,16.054,13.895,13.356,14.953,;
7,18.444,16.203,15.518,17.566,;
8,18.444,15.589,15.374,17.484,;
9,18.444,15.104,15.269,17.413,;
0,15.888,12.861,13.064,14.724,;
1,15.819,12.721,12.935,14.625,;
2,13.459,11.228,11.563,12.658,;
3,13.575,12.005,11.784,12.841,;
4,13.629,12.342,11.818,12.895,;
5,16.168,14.295,13.672,15.15,;
6,16.052,13.896,13.368,14.957,;
7,18.444,16.195,15.528,17.573,;
8,18.444,15.581,15.392,17.491,;
9,18.444,15.098,15.281,17.425,;
0,15.884,12.864,13.075,14.733,;
1,15.819,12.721,12.949,14.631,;
2,13.465,11.222,11.569,12.664,;
3,13.577,12.005,11.789,12.839,;
4,13.631,12.34,11.823,12.902,;
5,16.166,14.293,13.685,15.155,;
6,16.06,13.896,13.37,14.963,;
7,18.444,16.202,15.535,17.578,;
8,18.444,15.579,15.399,17.492,;
9,18.444,15.101,15.287,17.425,;
0,15.884,12.864,13.082,14.733,;
1,15.814,12.724,12.959,14.632,;
2,13.458,11.227,11.572,12.667,;
3,13.569,12.009,11.796,12.845,;
4,13.638,12.336,11.83,12.906,;
5,16.171,14.297,13.686,15.152,;
6,16.061,13.894,13.38,14.96,;
7,18.444,16.193,15.548,17.579,;
8,18.444,15.576,15.403,17.49,;
9,18.444,15.092,15.299,17.428,;
0,15.878,12.861,13.09,14.738,;
1,15.828,12.723,12.96,14.642,;
2,13.456,11.227,11.579,12.668,;
3,13.575,12.003,11.8,12.849,;
4,13.63,12.332,11.834,12.906,;
5,16.175,14.292,13.681,15.159,;
6,16.059,13.895,13.382,14.967,;
7,18.444,16.201,15.553,17.588,;
8,18.444,15.575,15.413,17.501,;
9,18.444,15.098,15.305,17.427,;
0,15.891,12.862,13.094,14.744,;
1,15.826,12.72,12.965,14.648,;
2,13.455,11.226,11.584,12.668,;
3,13.576,12.001,11.803,12.851,;
4,13.632,12.336,11.839,12.909,;
5,16.165,14.298,13.692,15.164,;
6,16.056,13.895,13.398,14.974,;
7,18.444,16.2,15.562,17.594,;
8,18.444,15.576,15.425,17.504,;
9,18.444,15.1,15.313,17.443,;
0,15.885,12.863,13.106,14.751,;
1,15.824,12.719,12.974,14.647,;
2,13.458,11.226,11.59,12.673,;
3,13.572,12.009,11.811,12.852,;
4,13.631,12.341,11.843,12.911,;
5,16.168,14.291,13.704,15.164,;
6,16.059,13.897,13.395,14.977,;
7,18.444,16.196,15.577,17.602,;
8,18.444,15.574,15.432,17.517,;
9,18.444,15.098,15.327,17.447,;
0,15.892,12.862,13.111,14.755,;
1,15.825,12.718,12.978,14.644,;
2,13.455,11.224,11.595,12.673,;
3,13.58,12.004,11.816,12.854,;
4,13.636,12.338,11.85,12.912,;
5,16.169,14.295,13.705,15.173,;
6,16.062,13.895,13.405,14.985,;
7,18.444,16.194,15.589,17.599,;
8,18.444,15.573,15.446,17.525,;
9,18.444,15.096,15.336,17.445,;
0,15.887,12.862,13.111,14.756,;
1,15.826,12.723,12.991,14.654,;
2,13.461,11.228,11.598,12.677,;
3,13.576,11.996,11.821,12.858,;
4,13.629,12.333,11.852,12.912,;
5,16.175,14.292,13.717,15.176,;
6,16.052,13.9,13.418,14.985,;
7,18.444,16.187,15.588,17.605,;
8,18.444,15.576,15.454,17.521,;
9,18.444,15.095,15.347,17.453,;
0,15.889,12.859,13.124,14.76,;
1,15.826,12.72,12.994,14.659,;
2,13.466,11.226,11.604,12.678,;
3,13.568,12.005,11.825,12.86,;
4,13.631,12.335,11.859,12.917,;
5,16.173,14.292,13.731,15.176,;
6,16.06,13.892,13.419,14.989,;
7,18.444,16.193,15.611,17.615,;
8,18.444,15.567,15.457,17.523,;
9,18.444,15.093,15.347,17.466,;
0,15.891,12.857,13.13,14.761,;
1,15.832,12.717,13,14.658,;
2,13.464,11.225,11.608,12.686,;
3,13.572,12.007,11.831,12.862,;
4,13.634,12.334,11.867,12.92,;
5,16.169,14.29,13.731,15.176,;
6,16.059,13.897,13.432,14.992,;
7,18.444,16.192,15.61,17.616,;
8,18.444,15.572,15.474,17.527,;
9,18.444,15.099,15.365,17.471,;
0,15.889,12.86,13.136,14.772,;
1,15.835,12.721,13.006,14.669,;
2,13.463,11.227,11.612,12.685,;
3,13.578,11.996,11.835,12.863,;
4,13.639,12.33,11.869,12.921,;
5,16.17,14.297,13.743,15.189,;
6,16.062,13.892,13.434,14.994,;
7,18.444,16.192,15.628,17.62,;
8,18.444,15.565,15.476,17.545,;
9,18.444,15.098,15.364,17.468,;
0,15.888,12.864,13.138,14.77,;
1,15.825,12.722,13.016,14.665,;
2,13.461,11.227,11.614,12.689,;
3,13.58,11.997,11.839,12.865,;
4,13.639,12.33,11.872,12.924,;
5,16.17,14.294,13.75,15.193,;
6,16.057,13.902,13.448,14.997,;
7,18.444,16.195,15.635,17.622,;
8,18.444,15.565,15.477,17.529,;
9,18.444,15.092,15.366,17.478,;
0,15.896,12.854,13.149,14.775,;
1,15.837,12.723,13.019,14.679,;
2,13.468,11.221,11.62,12.689,;
3,13.578,11.997,11.843,12.872,;
4,13.631,12.328,11.878,12.927,;
5,16.167,14.294,13.742,15.195,;
6,16.053,13.899,13.442,14.998,;
7,18.444,16.199,15.643,17.627,;
8,18.444,15.568,15.486,17.548,;
9,18.444,15.102,15.379,17.48,;
0,15.895,12.862,13.155,14.776,;
1,15.828,12.719,13.025,14.678,;
2,13.46,11.224,11.624,12.695,;
3,13.573,11.999,11.847,12.873,;
4,13.631,12.33,11.883,12.929,;
5,16.177,14.295,13.748,15.197,;
6,16.068,13.894,13.456,15.006,;
7,18.444,16.195,15.656,17.638,;
8,18.444,15.566,15.496,17.546,;
9,18.444,15.093,15.388,17.476,;
0,15.896,12.863,13.162,14.785,;
1,15.832,12.72,13.031,14.683,;
2,13.466,11.224,11.626,12.693,;
3,13.576,11.999,11.854,12.875,;
4,13.638,12.33,11.888,12.931,;
5,16.175,14.292,13.761,15.199,;
6,16.06,13.901,13.457,15.012,;
7,18.444,16.192,15.655,17.64,;
8,18.444,15.575,15.507,17.556,;
9,18.444,15.098,15.4,17.487,;
0,15.889,12.861,13.169,14.782,;
1,15.823,12.723,13.041,14.686,;
2,13.465,11.226,11.632,12.7,;
3,13.577,12.001,11.856,12.876,;
4,13.636,12.329,11.893,12.938,;
5,16.17,14.291,13.759,15.205,;
6,16.058,13.898,13.468,15.018,;
7,18.444,16.196,15.671,17.648,;
8,18.444,15.577,15.516,17.562,;
9,18.444,15.1,15.403,17.489,;
0,15.893,12.862,13.173,14.785,;
1,15.831,12.721,13.045,14.691,;
2,13.469,11.222,11.637,12.702,;
3,13.577,11.999,11.858,12.877,;
4,13.636,12.33,11.896,12.936,;
5,16.174,14.286,13.761,15.202,;
6,16.064,13.9,13.475,15.018,;
7,18.444,16.199,15.674,17.643,;
8,18.444,15.569,15.524,17.56,;
9,18.444,15.107,15.412,17.498,;
0,15.891,12.865,13.178,14.788,;
1,15.837,12.724,13.05,14.693,;
2,13.465,11.225,11.64,12.705,;
3,13.578,12,11.864,12.883,;
4,13.641,12.328,11.901,12.938,;
5,16.168,14.29,13.782,15.212,;
6,16.062,13.896,13.479,15.025,;
7,18.444,16.19,15.678,17.651,;
8,18.444,15.563,15.534,17.562,;
9,18.444,15.098,15.419,17.501,;
0,15.896,12.862,13.183,14.792,;
1,15.836,12.721,13.059,14.697,;
2,13.469,11.221,11.644,12.707,;
